date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2021-06-27,AUT,7513117.0,4689056.0,2925516.0,40813.0,85799.0,83.42,9526.0,32.48
2021-06-28,AUT,7563545.0,4704891.0,2963068.0,50428.0,85716.0,83.98,9517.0,32.9
2021-06-29,AUT,7654958.0,4736077.0,3026456.0,91413.0,85733.0,84.99,9519.0,33.6
2021-06-30,AUT,7768004.0,4768861.0,3110209.0,113046.0,85981.0,86.25,9547.0,34.53
2021-07-01,AUT,7883580.0,4799263.0,3199065.0,115576.0,86995.0,87.53,9659.0,35.52
2021-07-02,AUT,7995981.0,4826752.0,3286985.0,112401.0,85758.0,88.78,9522.0,36.5
2021-07-03,AUT,8065444.0,4848647.0,3337033.0,69463.0,84734.0,89.55,9408.0,37.05
2021-07-04,AUT,8117750.0,4880857.0,3363244.0,52306.0,86376.0,90.13,9591.0,37.34
2021-07-05,AUT,8162608.0,4898929.0,3394460.0,44858.0,85580.0,90.63,9502.0,37.69
2021-07-06,AUT,8239846.0,4925865.0,3448649.0,77238.0,83555.0,91.49,9277.0,38.29
2020-12-28,BEL,302.0,302.0,,,,0.0,,
2020-12-29,BEL,316.0,316.0,10.0,14.0,14.0,0.0,1.0,0.0
2020-12-30,BEL,802.0,802.0,19.0,486.0,250.0,0.01,22.0,0.0
2020-12-31,BEL,814.0,814.0,19.0,12.0,171.0,0.01,15.0,0.0
2021-01-01,BEL,816.0,816.0,19.0,2.0,128.0,0.01,11.0,0.0
2021-01-02,BEL,829.0,829.0,32.0,13.0,105.0,0.01,9.0,0.0
2021-01-03,BEL,835.0,835.0,32.0,6.0,89.0,0.01,8.0,0.0
2021-01-04,BEL,844.0,844.0,35.0,9.0,77.0,0.01,7.0,0.0
2021-01-05,BEL,2570.0,2570.0,52.0,1726.0,322.0,0.02,28.0,0.0
2021-01-06,BEL,6508.0,6508.0,75.0,3938.0,815.0,0.06,70.0,0.0
2021-01-07,BEL,14876.0,14876.0,88.0,8368.0,2009.0,0.13,173.0,0.0
2021-01-08,BEL,24199.0,24199.0,122.0,9323.0,3340.0,0.21,288.0,0.0
2021-01-09,BEL,27435.0,27435.0,132.0,3236.0,3801.0,0.24,328.0,0.0
2021-01-10,BEL,27845.0,27844.0,133.0,410.0,3859.0,0.24,333.0,0.0
2021-01-11,BEL,33462.0,33460.0,143.0,5617.0,4660.0,0.29,402.0,0.0
2021-01-12,BEL,49406.0,49404.0,164.0,15944.0,6691.0,0.43,577.0,0.0
2021-01-13,BEL,71166.0,71058.0,287.0,21760.0,9237.0,0.61,797.0,0.0
2021-01-14,BEL,94532.0,94419.0,303.0,23366.0,11379.0,0.82,982.0,0.0
2021-01-15,BEL,118139.0,118018.0,329.0,23607.0,13420.0,1.02,1158.0,0.0
2021-01-16,BEL,123342.0,123221.0,339.0,5203.0,13701.0,1.06,1182.0,0.0
2021-01-17,BEL,126564.0,126442.0,340.0,3222.0,14103.0,1.09,1217.0,0.0
2021-01-18,BEL,137670.0,137429.0,472.0,11106.0,14887.0,1.19,1285.0,0.0
2021-01-19,BEL,157010.0,156580.0,691.0,19340.0,15372.0,1.35,1326.0,0.01
2021-01-20,BEL,178505.0,177640.0,1152.0,21495.0,15334.0,1.54,1323.0,0.01
2021-01-21,BEL,208700.0,207821.0,1190.0,30195.0,16310.0,1.8,1407.0,0.01
2021-01-22,BEL,238791.0,237859.0,1278.0,30091.0,17236.0,2.06,1487.0,0.01
2021-01-23,BEL,247231.0,246289.0,1299.0,8440.0,17698.0,2.13,1527.0,0.01
2021-01-24,BEL,249120.0,248172.0,1305.0,1889.0,17508.0,2.15,1511.0,0.01
2021-01-25,BEL,260453.0,259502.0,1331.0,11333.0,17540.0,2.25,1513.0,0.01
2021-01-26,BEL,273306.0,270611.0,3095.0,12853.0,16614.0,2.36,1434.0,0.03
2021-01-27,BEL,289977.0,283855.0,6561.0,16671.0,15925.0,2.5,1374.0,0.06
2021-01-28,BEL,313632.0,299785.0,14317.0,23655.0,14990.0,2.71,1293.0,0.12
2021-01-29,BEL,334976.0,312116.0,23364.0,21344.0,13741.0,2.89,1186.0,0.2
